col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
30909,618185,532,3.594,0,486.374,0.000,0.000,45.626,1.000,0.000,4,525.412,8.077,26.111,0.285,0.184351,29.424,525.348,8.191,26.513,0.319,0.187842,26.615,21.615,525.684,15.938,35
30910,618205,528,3.555,0,486.374,0.000,0.000,41.626,1.000,0.000,4,525.889,2.588,26.099,0.283,0.184351,29.424,525.853,2.652,26.473,0.311,0.190456,26.569,21.509,526.010,28.142,35
30911,618225,518,3.609,0,486.374,0.000,0.000,31.626,1.000,0.000,4,524.435,-7.889,27.826,-0.370,0.184351,29.424,524.438,-7.853,28.178,-0.342,0.180116,28.296,23.199,524.281,18.026,35
30912,618245,533,3.555,0,486.374,0.000,0.000,46.626,1.000,0.000,4,526.014,8.565,30.848,0.249,0.184351,29.424,525.860,8.562,31.118,0.281,0.165993,31.197,26.019,525.529,29.294,35
30913,618265,527,3.641,0,486.374,0.000,0.000,40.626,1.000,0.000,4,526.195,0.986,28.737,0.603,0.184351,29.424,526.066,1.140,28.995,0.643,0.180868,29.408,24.089,525.758,28.142,35
30914,618285,524,3.602,0,486.374,0.000,0.000,37.626,1.000,0.000,4,525.791,-2.195,28.766,0.342,0.184351,29.424,525.685,-2.066,28.952,0.377,0.184125,29.094,23.737,525.485,29.294,35
30915,618305,518,3.617,0,486.374,0.000,0.000,31.626,1.000,0.000,4,524.354,-7.791,30.859,0.179,0.184351,29.424,524.357,-7.685,31.012,0.215,0.172918,31.058,25.688,524.167,25.969,35
30916,618325,526,3.445,0,486.374,0.000,0.000,39.626,1.000,0.000,4,524.658,1.646,30.098,0.046,0.184351,29.424,524.653,1.643,30.191,0.074,0.180216,30.197,24.755,524.460,29.294,35
30917,618347,520,3.602,0,486.374,0.000,0.000,33.626,1.000,0.000,4,523.399,-4.168,30.523,-0.523,0.184351,29.424,523.433,-4.173,30.626,-0.499,0.177299,30.875,25.401,523.299,25.969,35
30918,618367,523,3.688,0,486.374,0.000,0.000,36.626,1.000,0.000,4,523.326,-0.399,30.272,-0.627,0.184351,29.424,523.356,-0.433,30.393,-0.601,0.178950,30.755,25.251,523.246,25.969,35
30919,618387,524,3.695,0,486.374,0.000,0.000,37.626,1.000,0.000,4,523.450,0.674,27.727,-0.211,0.184351,29.424,523.484,0.644,27.723,-0.181,0.198833,27.756,22.237,523.385,24.943,35
30920,618405,531,3.562,0,486.374,0.000,0.000,44.626,1.000,0.000,4,524.842,7.550,25.745,-0.322,0.184351,29.424,525.065,7.516,25.680,-0.295,0.210397,25.768,20.346,524.649,28.142,35
30921,618425,528,3.484,0,486.546,0.000,0.000,41.454,1.000,0.000,4,525.424,3.158,26.321,-0.163,0.184351,29.424,525.657,2.935,26.176,-0.148,0.201570,26.198,20.917,525.426,18.778,35
30922,618445,519,3.703,0,486.546,0.000,0.000,32.454,1.000,0.000,4,524.240,-6.424,28.079,-0.533,0.184351,29.424,524.433,-6.657,28.085,-0.530,0.183897,28.366,23.149,523.708,14.674,35
30923,618465,521,3.633,0,486.546,0.000,0.000,34.454,1.000,0.000,4,523.643,-3.240,28.417,-0.685,0.184351,29.424,523.809,-3.433,28.476,-0.690,0.181577,28.952,23.695,523.344,31.736,35
30924,618485,529,3.609,0,486.546,0.000,0.000,42.454,1.000,0.000,4,524.630,5.357,26.117,0.042,0.184351,29.424,524.864,5.191,26.090,0.028,0.203234,26.091,20.788,524.235,28.142,35
30925,618505,524,3.562,0,486.546,0.000,0.000,37.454,1.000,0.000,4,524.514,-0.630,24.543,-0.266,0.184351,29.424,524.681,-0.864,24.529,-0.290,0.212279,24.613,19.388,524.172,14.674,35
30926,618525,522,3.633,0,486.202,0.000,0.000,35.798,1.000,0.000,4,524.051,-2.514,24.547,-0.267,0.184351,29.424,524.125,-2.681,24.573,-0.300,0.207423,24.663,19.547,523.605,14.078,35
30927,618547,517,3.570,0,486.202,0.000,0.000,30.798,1.000,0.000,4,524.548,-9.253,30.901,-0.234,0.184351,29.424,524.586,-9.130,30.668,-0.273,0.169175,30.743,25.542,525.134,29.294,35
